SAM id,SAM id,Samples IDs,Collection Date,Location3,Location2,Location,Location_FC,Location_FC2,Sample received,MUX ID,"Previous sampled ID for reference
(To GIS: Please replace the IDs in column B with those in column C) ","New sample ID
(To GIS: Please replace the IDs in column B with those in column C)",Qubit ng/uL,Tapestation ng/uL,Sample Name,"Sector ID
(approximate geolocation)",Date of sample collected,Day,Month ,Year,Premise Type,Total Aerobic Plate Count (CFU/g),Coliforms (CFU/g),Collection Round,Tapestation ng/uL.1,Collection Set,Location_cluster,Location_cluster2,cohort
WEM391,WEM391,Tables 4 (MEWR/GIS034),29/1/2019,HC_D,MEWR,MEWR_D,FC_K,K,29/01/2019,MUX10898,MEWR/GIS034,P1/GIS034,22.9,,Table 4,42.0,2019-01-29 00:00:00,29.0,1.0,2019.0,Hawker Centre,320000,50,1,,1,4.0,4.0,Hawker Centre
WEM392,WEM392,Tables 5 (MEWR/GIS035),29/1/2019,HC_D,MEWR,MEWR_D,FC_K,K,29/01/2019,MUX10898,MEWR/GIS035,P1/GIS035,16.1,,Table 5,42.0,2019-01-29 00:00:00,29.0,1.0,2019.0,Hawker Centre,570000,380,1,,1,4.0,4.0,Hawker Centre
WEM393,WEM393,Tables 6 (MEWR/GIS036),29/1/2019,HC_D,MEWR,MEWR_D,FC_K,K,29/01/2019,MUX10898,MEWR/GIS036,P1/GIS036,26.9,,Table 6,42.0,2019-01-29 00:00:00,29.0,1.0,2019.0,Hawker Centre,10000,1400,1,,1,4.0,4.0,Hawker Centre
WEM394,WEM394,Tables 7 (MEWR/GIS037),29/1/2019,HC_D,MEWR,MEWR_D,FC_K,K,29/01/2019,MUX10898,MEWR/GIS037,P1/GIS037,11.1,,Table 7,42.0,2019-01-29 00:00:00,29.0,1.0,2019.0,Hawker Centre,580000,920,1,,1,4.0,4.0,Hawker Centre
WEM395,WEM395,Tables 8 (MEWR/GIS038),29/1/2019,HC_D,MEWR,MEWR_D,FC_K,K,29/01/2019,MUX10898,MEWR/GIS038,P1/GIS038,18.5,,Table 8,42.0,2019-01-29 00:00:00,29.0,1.0,2019.0,Hawker Centre,6400,600,1,,1,4.0,4.0,Hawker Centre
WEM396,WEM396,Tables 9 (MEWR/GIS039),29/1/2019,HC_D,MEWR,MEWR_D,FC_K,K,29/01/2019,MUX10898,MEWR/GIS039,P1/GIS039,14.0,,Table 9,42.0,2019-01-29 00:00:00,29.0,1.0,2019.0,Hawker Centre,630000,More than 1 500,1,,1,4.0,4.0,Hawker Centre
WEM397,WEM397,Tables 10 (MEWR/GIS040),29/1/2019,HC_D,MEWR,MEWR_D,FC_K,K,29/01/2019,MUX10898,MEWR/GIS040,P1/GIS040,24.6,,Table 10,42.0,2019-01-29 00:00:00,29.0,1.0,2019.0,Hawker Centre,440000,More than 1 500,1,,1,4.0,4.0,Hawker Centre
WEM398,WEM398,Tables 1 (MEWR/GIS041),30/1/2019,HC_E,MEWR,MEWR_E,FC_L,L,30/01/2019,MUX10898,MEWR/GIS041,P1/GIS041,14.2,,Table 1,22.0,2019-01-30 00:00:00,30.0,1.0,2019.0,Hawker Centre,18000,240,1,,1,1.0,2.0,Hawker Centre
WEM399,WEM399,Tables 2 (MEWR/GIS042),30/1/2019,HC_E,MEWR,MEWR_E,FC_L,L,30/01/2019,MUX10898,MEWR/GIS042,P1/GIS042,28.4,,Table 2,22.0,2019-01-30 00:00:00,30.0,1.0,2019.0,Hawker Centre,31000,320,1,,1,1.0,2.0,Hawker Centre
WEM400,WEM400,Tables 3 (MEWR/GIS043),30/1/2019,HC_E,MEWR,MEWR_E,FC_L,L,30/01/2019,MUX10898,MEWR/GIS043,P1/GIS043,18.5,,Table 3,22.0,2019-01-30 00:00:00,30.0,1.0,2019.0,Hawker Centre,120000,Less than 10,1,,1,1.0,2.0,Hawker Centre
WEM401,WEM401,Tables 4 (MEWR/GIS044),30/1/2019,HC_E,MEWR,MEWR_E,FC_L,L,30/01/2019,MUX10898,MEWR/GIS044,P1/GIS044,17.6,,Table 4,22.0,2019-01-30 00:00:00,30.0,1.0,2019.0,Hawker Centre,260000,380,1,,1,1.0,2.0,Hawker Centre
WEM402,WEM402,Tables 5 (MEWR/GIS045),30/1/2019,HC_E,MEWR,MEWR_E,FC_L,L,30/01/2019,MUX10898,MEWR/GIS045,P1/GIS045,4.1,,Table 5,22.0,2019-01-30 00:00:00,30.0,1.0,2019.0,Hawker Centre,88000,40,1,,1,1.0,2.0,Hawker Centre
WEM403,WEM403,Tables 6 (MEWR/GIS046),30/1/2019,HC_E,MEWR,MEWR_E,FC_L,L,30/01/2019,MUX10898,MEWR/GIS046,P1/GIS046,17.5,,Table 6,22.0,2019-01-30 00:00:00,30.0,1.0,2019.0,Hawker Centre,98000,20,1,,1,1.0,2.0,Hawker Centre
WEM404,WEM404,Tables 7 (MEWR/GIS047),30/1/2019,HC_E,MEWR,MEWR_E,FC_L,L,30/01/2019,MUX10898,MEWR/GIS047,P1/GIS047,20.5,,Table 7,22.0,2019-01-30 00:00:00,30.0,1.0,2019.0,Hawker Centre,37000,1300,1,,1,1.0,2.0,Hawker Centre
WEM405,WEM405,Tables 8 (MEWR/GIS048),30/1/2019,HC_E,MEWR,MEWR_E,FC_L,L,30/01/2019,MUX10898,MEWR/GIS048,P1/GIS048,16.1,,Table 8,22.0,2019-01-30 00:00:00,30.0,1.0,2019.0,Hawker Centre,1000000,130,1,,1,1.0,2.0,Hawker Centre
WEM406,WEM406,Tables 9 (MEWR/GIS049),30/1/2019,HC_E,MEWR,MEWR_E,FC_L,L,30/01/2019,MUX10898,MEWR/GIS049,P1/GIS049,14.2,,Table 9,22.0,2019-01-30 00:00:00,30.0,1.0,2019.0,Hawker Centre,1700,30,1,,1,1.0,2.0,Hawker Centre
WEM407,WEM407,Tables 10 (MEWR/GIS050),30/1/2019,HC_E,MEWR,MEWR_E,FC_L,L,30/01/2019,MUX10898,MEWR/GIS050,P1/GIS050,27.7,,Table 10,22.0,2019-01-30 00:00:00,30.0,1.0,2019.0,Hawker Centre,14000,10,1,,1,1.0,2.0,Hawker Centre
WEM408,WEM408,Tables 1 (MEWR/GIS051),19/2/2019,HC_F,MEWR,MEWR_F,FC_M,M,19/2/2019,MUX10898,MEWR/GIS051,P1/GIS051,27.0,,Table 1,6.0,2019-02-19 00:00:00,19.0,1.0,2019.0,Hawker Centre,1200,Less than 10,1,,1,1.0,1.0,Hawker Centre
WEM409,WEM409,Tables 2 (MEWR/GIS052),19/2/2019,HC_F,MEWR,MEWR_F,FC_M,M,19/2/2019,MUX10898,MEWR/GIS052,P1/GIS052,14.4,,Table 2,6.0,2019-02-19 00:00:00,19.0,1.0,2019.0,Hawker Centre,Less than 100,Less than 10,1,,1,1.0,1.0,Hawker Centre
WEM411,WEM411,Tables 3 (MEWR/GIS053),19/2/2019,HC_F,MEWR,MEWR_F,FC_M,M,19/2/2019,MUX10899,MEWR/GIS053,P1/GIS053,13.2,,Table 3,6.0,2019-02-19 00:00:00,19.0,1.0,2019.0,Hawker Centre,13000,530,1,,1,1.0,1.0,Hawker Centre
WEM412,WEM412,Tables 4 (MEWR/GIS054),19/2/2019,HC_F,MEWR,MEWR_F,FC_M,M,19/2/2019,MUX10899,MEWR/GIS054,P1/GIS054,4.8,,Table 4,6.0,2019-02-19 00:00:00,19.0,1.0,2019.0,Hawker Centre,3300,140,1,,1,1.0,1.0,Hawker Centre
WEM413,WEM413,Tables 5 (MEWR/GIS055),19/2/2019,HC_F,MEWR,MEWR_F,FC_M,M,19/2/2019,MUX10899,MEWR/GIS055,P1/GIS055,16.0,,Table 5,6.0,2019-02-19 00:00:00,19.0,1.0,2019.0,Hawker Centre,18000,540,1,,1,1.0,1.0,Hawker Centre
WEM414,WEM414,Tables 6 (MEWR/GIS056),19/2/2019,HC_F,MEWR,MEWR_F,FC_M,M,19/2/2019,MUX10899,MEWR/GIS056,P1/GIS056,11.5,,Table 6,6.0,2019-02-19 00:00:00,19.0,1.0,2019.0,Hawker Centre,34000,140,1,,1,1.0,1.0,Hawker Centre
WEM415,WEM415,Tables 7 (MEWR/GIS057),19/2/2019,HC_F,MEWR,MEWR_F,FC_M,M,19/2/2019,MUX10899,MEWR/GIS057,P1/GIS057,11.8,,Table 7,6.0,2019-02-19 00:00:00,19.0,1.0,2019.0,Hawker Centre,4400,60,1,,1,1.0,1.0,Hawker Centre
WEM416,WEM416,Tables 8 (MEWR/GIS058),19/2/2019,HC_F,MEWR,MEWR_F,FC_M,M,19/2/2019,MUX10899,MEWR/GIS058,P1/GIS058,20.5,,Table 8,6.0,2019-02-19 00:00:00,19.0,1.0,2019.0,Hawker Centre,22000,30,1,,1,1.0,1.0,Hawker Centre
WEM417,WEM417,Tables 9 (MEWR/GIS059),19/2/2019,HC_F,MEWR,MEWR_F,FC_M,M,19/2/2019,MUX10899,MEWR/GIS059,P1/GIS059,18.1,,Table 9,6.0,2019-02-19 00:00:00,19.0,1.0,2019.0,Hawker Centre,2100,140,1,,1,1.0,1.0,Hawker Centre
WEM418,WEM418,Tables 10 (MEWR/GIS060),19/2/2019,HC_F,MEWR,MEWR_F,FC_M,M,19/2/2019,MUX10899,MEWR/GIS060,P1/GIS060,20.0,,Table 10,6.0,2019-02-19 00:00:00,19.0,1.0,2019.0,Hawker Centre,350000,230,1,,1,1.0,1.0,Hawker Centre
WEM419,WEM419,Tables 1 (MEWR/GIS061),2019-02-21 00:00:00,HC_G,MEWR,MEWR_G,FC_N,N,28/2/2019,MUX10899,MEWR/GIS061,P1/GIS061,16.2,,Table 1,55.0,2019-02-21 00:00:00,21.0,1.0,2019.0,Hawker Centre,2700,280,1,,1,5.0,5.0,Hawker Centre
WEM420,WEM420,Tables 2 (MEWR/GIS062),2019-02-21 00:00:00,HC_G,MEWR,MEWR_G,FC_N,N,28/2/2019,MUX10899,MEWR/GIS062,P1/GIS062,18.8,,Table 2,55.0,2019-02-21 00:00:00,21.0,1.0,2019.0,Hawker Centre,3800,360,1,,1,5.0,5.0,Hawker Centre
WEM421,WEM421,Tables 3 (MEWR/GIS063),2019-02-21 00:00:00,HC_G,MEWR,MEWR_G,FC_N,N,28/2/2019,MUX10899,MEWR/GIS063,P1/GIS063,27.4,,Table 3,55.0,2019-02-21 00:00:00,21.0,1.0,2019.0,Hawker Centre,1800,220,1,,1,5.0,5.0,Hawker Centre
WEM422,WEM422,Tables 4 (MEWR/GIS064),2019-02-21 00:00:00,HC_G,MEWR,MEWR_G,FC_N,N,28/2/2019,MUX10899,MEWR/GIS064,P1/GIS064,13.4,,Table 4,55.0,2019-02-21 00:00:00,21.0,1.0,2019.0,Hawker Centre,1800,90,1,,1,5.0,5.0,Hawker Centre
WEM423,WEM423,Tables 5 (MEWR/GIS065),2019-02-21 00:00:00,HC_G,MEWR,MEWR_G,FC_N,N,28/2/2019,MUX10899,MEWR/GIS065,P1/GIS065,5.6,,Table 5,55.0,2019-02-21 00:00:00,21.0,1.0,2019.0,Hawker Centre,9400,170,1,,1,5.0,5.0,Hawker Centre
WEM424,WEM424,Tables 6 (MEWR/GIS066),2019-02-21 00:00:00,HC_G,MEWR,MEWR_G,FC_N,N,28/2/2019,MUX10899,MEWR/GIS066,P1/GIS066,9.1,,Table 6,55.0,2019-02-21 00:00:00,21.0,1.0,2019.0,Hawker Centre,200,70,1,,1,5.0,5.0,Hawker Centre
WEM425,WEM425,Tables 7 (MEWR/GIS067),2019-02-21 00:00:00,HC_G,MEWR,MEWR_G,FC_N,N,28/2/2019,MUX10899,MEWR/GIS067,P1/GIS067,14.9,,Table 7,55.0,2019-02-21 00:00:00,21.0,1.0,2019.0,Hawker Centre,7400,840,1,,1,5.0,5.0,Hawker Centre
WEM426,WEM426,Tables 8 (MEWR/GIS068),2019-02-21 00:00:00,HC_G,MEWR,MEWR_G,FC_N,N,28/2/2019,MUX10899,MEWR/GIS068,P1/GIS068,17.5,,Table 8,55.0,2019-02-21 00:00:00,21.0,1.0,2019.0,Hawker Centre,4900,360,1,,1,5.0,5.0,Hawker Centre
WEM427,WEM427,Tables 9 (MEWR/GIS069),2019-02-21 00:00:00,HC_G,MEWR,MEWR_G,FC_N,N,28/2/2019,MUX10899,MEWR/GIS069,P1/GIS069,19.4,,Table 9,55.0,2019-02-21 00:00:00,21.0,1.0,2019.0,Hawker Centre,400,220,1,,1,5.0,5.0,Hawker Centre
WEM428,WEM428,Tables 10 (MEWR/GIS070,2019-02-21 00:00:00,HC_G,MEWR,MEWR_G,FC_N,N,28/2/2019,MUX10899,MEWR/GIS070,P1/GIS070,13.8,,Table 10,55.0,2019-02-21 00:00:00,21.0,1.0,2019.0,Hawker Centre,72000,200,1,,1,5.0,5.0,Hawker Centre
WEM429,WEM429,Tables 1 (MEWR/GIS071),2019-06-06 00:00:00,HC_H,MEWR,MEWR_H,FC_O,O,,MUX10899,MEWR/GIS071,P1/GIS071,28.3,,Table 1,14.0,2019-06-06 00:00:00,6.0,1.0,2019.0,Hawker Centre,200,Less than 10,1,,1,2.0,2.0,Hawker Centre
WEM430,WEM430,Tables 2 (MEWR/GIS072),2019-06-06 00:00:00,HC_H,MEWR,MEWR_H,FC_O,O,,MUX10899,MEWR/GIS072,P1/GIS072,6.2,,Table 2,14.0,2019-06-06 00:00:00,6.0,1.0,2019.0,Hawker Centre,26000,50,1,,1,2.0,2.0,Hawker Centre
WEM431,WEM431,Tables 3 (MEWR/GIS073),2019-06-06 00:00:00,HC_H,MEWR,MEWR_H,FC_O,O,,MUX10899,MEWR/GIS073,P1/GIS073,20.3,,Table 3,14.0,2019-06-06 00:00:00,6.0,1.0,2019.0,Hawker Centre,6100,Less than 10,1,,1,2.0,2.0,Hawker Centre
WEM432,WEM432,Tables 4 (MEWR/GIS074),2019-06-06 00:00:00,HC_H,MEWR,MEWR_H,FC_O,O,,MUX10899,MEWR/GIS074,P1/GIS074,11.2,,Table 4,14.0,2019-06-06 00:00:00,6.0,1.0,2019.0,Hawker Centre,9700,400,1,,1,2.0,2.0,Hawker Centre
WEM433,WEM433,Tables 6 (MEWR/GIS076),2019-06-06 00:00:00,HC_H,MEWR,MEWR_H,FC_O,O,,MUX10899,MEWR/GIS076,P1/GIS076,28.8,,Table 6,14.0,2019-06-06 00:00:00,6.0,1.0,2019.0,Hawker Centre,700,Less than 10,1,,1,2.0,2.0,Hawker Centre
WEM434,WEM434,Tables 7 (MEWR/GIS077),2019-06-06 00:00:00,HC_H,MEWR,MEWR_H,FC_O,O,,MUX10899,MEWR/GIS077,P1/GIS077,16.4,,Table 7,14.0,2019-06-06 00:00:00,6.0,1.0,2019.0,Hawker Centre,200,Less than 10,1,,1,2.0,2.0,Hawker Centre
WEM435,WEM435,Tables 8 (MEWR/GIS078),2019-06-06 00:00:00,HC_H,MEWR,MEWR_H,FC_O,O,,MUX10899,MEWR/GIS078,P1/GIS078,18.6,,Table 8,14.0,2019-06-06 00:00:00,6.0,1.0,2019.0,Hawker Centre,6400,90,1,,1,2.0,2.0,Hawker Centre
WEM436,WEM436,Tables 9 (MEWR/GIS079),2019-06-06 00:00:00,HC_H,MEWR,MEWR_H,FC_O,O,,MUX10899,MEWR/GIS079,P1/GIS079,25.0,,Table 9,14.0,2019-06-06 00:00:00,6.0,1.0,2019.0,Hawker Centre,7000,80,1,,1,2.0,2.0,Hawker Centre
WEM437,WEM437,Tables 2 (MEWR/GIS082),2019-06-11 00:00:00,HC_I,MEWR,MEWR_I,FC_P,P,,MUX10899,MEWR/GIS082,P1/GIS082,26.2,,Table 2,6.0,2019-06-11 00:00:00,11.0,1.0,2019.0,Hawker Centre,800000,600,1,,1,1.0,1.0,Hawker Centre
WEM438,WEM438,Tables 3 (MEWR/GIS083),2019-06-11 00:00:00,HC_I,MEWR,MEWR_I,FC_P,P,,MUX10899,MEWR/GIS083,P1/GIS083,10.3,,Table 3,6.0,2019-06-11 00:00:00,11.0,1.0,2019.0,Hawker Centre,2200000,760,1,,1,1.0,1.0,Hawker Centre
WEM439,WEM439,Tables 5 (MEWR/GIS085),2019-06-11 00:00:00,HC_I,MEWR,MEWR_I,FC_P,P,,MUX10899,MEWR/GIS085,P1/GIS085,21.3,,Table 5,6.0,2019-06-11 00:00:00,11.0,1.0,2019.0,Hawker Centre,68000,760,1,,1,1.0,1.0,Hawker Centre
WEM440,WEM440,Tables 6 (MEWR/GIS086),2019-06-11 00:00:00,HC_I,MEWR,MEWR_I,FC_P,P,,MUX10899,MEWR/GIS086,P1/GIS086,8.1,,Table 6,6.0,2019-06-11 00:00:00,11.0,1.0,2019.0,Hawker Centre,4000,Less than 10,1,,1,1.0,1.0,Hawker Centre
