,auc_train,acc_train,auc_test,acc_test,classifier,read_type,transformation
4,0.9673178176556401,0.5568181818181818,0.6871323529411764,0.24324324324324326,KNeighborsClassifier,non_microbial,CSS
0,0.9480526947932393,1.0,0.6822128851540616,0.2702702702702703,SVC (Linear),non_microbial,CSS
1,0.9448302890229131,1.0,0.7468837535014006,0.24324324324324326,SVC (Linear),non_microbial,CSS
2,0.8986354280361866,1.0,0.7898634453781512,0.35135135135135137,SVC (Linear),non_microbial,CSS
3,0.912679616549823,1.0,0.7374124649859943,0.4594594594594595,SVC (Linear),non_microbial,CSS
4,0.8953161622972727,1.0,0.7379726890756302,0.35135135135135137,SVC (Linear),non_microbial,CSS
0,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),non_microbial,CSS
1,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),non_microbial,CSS
2,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),non_microbial,CSS
3,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),non_microbial,CSS
4,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),non_microbial,CSS
0,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,non_microbial,CSS
1,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,non_microbial,CSS
2,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,non_microbial,CSS
3,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,non_microbial,CSS
4,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,non_microbial,CSS
0,0.9542621544378572,0.6704545454545454,0.7291228991596638,0.32432432432432434,Decision Tree,non_microbial,CSS
1,0.955629855044128,0.7386363636363636,0.7229954481792716,0.3783783783783784,Decision Tree,non_microbial,CSS
2,0.9386714322446581,0.6818181818181818,0.7099702380952381,0.32432432432432434,Decision Tree,non_microbial,CSS
3,0.9433712419363867,0.6818181818181818,0.7611782212885154,0.40540540540540543,Decision Tree,non_microbial,CSS
4,0.9188318386787568,0.6477272727272727,0.7287552521008402,0.35135135135135137,Decision Tree,non_microbial,CSS
0,0.9952619173785088,0.9545454545454546,0.6940563725490195,0.1891891891891892,Random Forest,non_microbial,CSS
1,0.9969389397828765,0.9431818181818182,0.7272321428571429,0.2972972972972973,Random Forest,non_microbial,CSS
2,0.9955756606565636,0.8977272727272727,0.7430847338935574,0.2702702702702703,Random Forest,non_microbial,CSS
3,0.9955040654779396,0.8863636363636364,0.6515406162464985,0.24324324324324326,Random Forest,non_microbial,CSS
4,0.9955720092915215,0.9090909090909091,0.7065388655462186,0.32432432432432434,Random Forest,non_microbial,CSS
0,1.0,1.0,0.6575805322128851,0.21621621621621623,MLPClassifier,non_microbial,CSS
1,0.9932482980703301,0.9886363636363636,0.674343487394958,0.21621621621621623,MLPClassifier,non_microbial,CSS
2,1.0,1.0,0.7227678571428572,0.1891891891891892,MLPClassifier,non_microbial,CSS
3,0.9962349397590362,0.9886363636363636,0.6119397759103642,0.16216216216216217,MLPClassifier,non_microbial,CSS
4,1.0,1.0,0.6996936274509804,0.1891891891891892,MLPClassifier,non_microbial,CSS
0,0.660431706986677,0.23863636363636365,0.6044992997198879,0.16216216216216217,AdaBoostClassifier,non_microbial,CSS
1,0.7743844619671096,0.19318181818181818,0.6670868347338935,0.13513513513513514,AdaBoostClassifier,non_microbial,CSS
2,0.6518707451758252,0.09090909090909091,0.6683823529411764,0.05405405405405406,AdaBoostClassifier,non_microbial,CSS
3,0.6620334779886096,0.10227272727272728,0.6646183473389355,0.05405405405405406,AdaBoostClassifier,non_microbial,CSS
4,0.5653296985852819,0.13636363636363635,0.5519957983193278,0.10810810810810811,AdaBoostClassifier,non_microbial,CSS
0,0.998796774399184,0.9090909090909091,0.7476540616246499,0.40540540540540543,GaussianNB,non_microbial,CSS
1,0.9992667064567471,0.9431818181818182,0.7753676470588236,0.3783783783783784,GaussianNB,non_microbial,CSS
2,0.9987931910569106,0.9318181818181818,0.8087009803921568,0.4864864864864865,GaussianNB,non_microbial,CSS
3,0.9988095675384465,0.9431818181818182,0.7799194677871149,0.43243243243243246,GaussianNB,non_microbial,CSS
4,0.999047256097561,0.9431818181818182,0.7365196078431373,0.40540540540540543,GaussianNB,non_microbial,CSS
0,1.0,1.0,0.5111519607843137,0.08108108108108109,QuadraticDiscriminantAnalysis,non_microbial,CSS
1,1.0,1.0,0.511204481792717,0.08108108108108109,QuadraticDiscriminantAnalysis,non_microbial,CSS
2,1.0,1.0,0.5276960784313726,0.10810810810810811,QuadraticDiscriminantAnalysis,non_microbial,CSS
3,1.0,1.0,0.46672794117647054,0.0,QuadraticDiscriminantAnalysis,non_microbial,CSS
4,1.0,1.0,0.49973739495798314,0.05405405405405406,QuadraticDiscriminantAnalysis,non_microbial,CSS
0,1.0,1.0,0.8663865546218488,0.5405405405405406,Logistic Regression,non_microbial,CLR
1,1.0,1.0,0.8879376750700281,0.5945945945945946,Logistic Regression,non_microbial,CLR
2,1.0,1.0,0.9096813725490196,0.6756756756756757,Logistic Regression,non_microbial,CLR
3,1.0,1.0,0.8916491596638656,0.6486486486486487,Logistic Regression,non_microbial,CLR
4,1.0,1.0,0.8810049019607843,0.5675675675675675,Logistic Regression,non_microbial,CLR
0,0.9819368637522732,0.7045454545454546,0.8308298319327732,0.5135135135135135,KNeighborsClassifier,non_microbial,CLR
1,0.978980273146075,0.6931818181818182,0.7914478291316527,0.5135135135135135,KNeighborsClassifier,non_microbial,CLR
2,0.9806470656143738,0.7045454545454546,0.8176908263305322,0.5135135135135135,KNeighborsClassifier,non_microbial,CLR
3,0.9812003458083204,0.7045454545454546,0.8008578431372549,0.5405405405405406,KNeighborsClassifier,non_microbial,CLR
4,0.9810920675297007,0.6590909090909091,0.7849002100840337,0.5135135135135135,KNeighborsClassifier,non_microbial,CLR
0,0.9990963855421686,1.0,0.8643207282913166,0.5675675675675675,SVC (Linear),non_microbial,CLR
1,0.9964299829010195,1.0,0.8772584033613445,0.5675675675675675,SVC (Linear),non_microbial,CLR
2,0.9874957036333487,1.0,0.8910364145658263,0.7297297297297297,SVC (Linear),non_microbial,CLR
3,0.9641450711382114,0.9886363636363636,0.8547093837535014,0.5945945945945946,SVC (Linear),non_microbial,CLR
4,0.9941973359465737,0.9886363636363636,0.8563375350140056,0.5675675675675675,SVC (Linear),non_microbial,CLR
0,0.0,1.0,0.5,0.08108108108108109,SVC (RBF),non_microbial,CLR
1,0.0,1.0,0.4549894957983193,0.10810810810810811,SVC (RBF),non_microbial,CLR
2,0.0,1.0,0.44768907563025206,0.32432432432432434,SVC (RBF),non_microbial,CLR
3,0.0,1.0,0.44768907563025206,0.2702702702702703,SVC (RBF),non_microbial,CLR
4,0.0,1.0,0.44768907563025206,0.32432432432432434,SVC (RBF),non_microbial,CLR
0,0.8778342702821869,0.48863636363636365,0.7679096638655463,0.2972972972972973,Gaussian Process,non_microbial,CLR
1,0.9620155183581143,0.3409090909090909,0.8132177871148458,0.08108108108108109,Gaussian Process,non_microbial,CLR
2,0.5663553386017939,0.11363636363636363,0.5096288515406162,0.13513513513513514,Gaussian Process,non_microbial,CLR
3,0.5621492940402726,0.125,0.48998599439775914,0.08108108108108109,Gaussian Process,non_microbial,CLR
4,0.9964657738095238,0.9431818181818182,0.8506477591036414,0.5405405405405406,Gaussian Process,non_microbial,CLR
0,0.8908457103999945,0.5340909090909091,0.6422268907563025,0.13513513513513514,Decision Tree,non_microbial,CLR
1,0.9067335993703813,0.625,0.6429271708683473,0.2702702702702703,Decision Tree,non_microbial,CLR
2,0.9097401365042049,0.5454545454545454,0.716482843137255,0.35135135135135137,Decision Tree,non_microbial,CLR
3,0.9229594991464114,0.5454545454545454,0.6366334033613446,0.2972972972972973,Decision Tree,non_microbial,CLR
4,0.9503592276335306,0.6818181818181818,0.7357055322128851,0.43243243243243246,Decision Tree,non_microbial,CLR
0,0.9945209077048937,0.8863636363636364,0.7371936274509804,0.32432432432432434,Random Forest,non_microbial,CLR
1,0.9944867064237075,0.8522727272727273,0.7399247198879552,0.21621621621621623,Random Forest,non_microbial,CLR
2,0.9938192228845697,0.8863636363636364,0.788874299719888,0.40540540540540543,Random Forest,non_microbial,CLR
3,0.9928356610238864,0.8977272727272727,0.7743785014005602,0.3783783783783784,Random Forest,non_microbial,CLR
4,0.9977224883855982,0.875,0.6396796218487395,0.2702702702702703,Random Forest,non_microbial,CLR
0,1.0,1.0,0.8550595238095238,0.5675675675675675,MLPClassifier,non_microbial,CLR
1,1.0,1.0,0.8808998599439776,0.5675675675675675,MLPClassifier,non_microbial,CLR
2,1.0,1.0,0.9048844537815126,0.7297297297297297,MLPClassifier,non_microbial,CLR
3,1.0,1.0,0.8777135854341737,0.6216216216216216,MLPClassifier,non_microbial,CLR
4,1.0,1.0,0.8720238095238095,0.6486486486486487,MLPClassifier,non_microbial,CLR
0,0.6208453191071163,0.20454545454545456,0.5788865546218487,0.13513513513513514,AdaBoostClassifier,non_microbial,CLR
1,0.5653344115913908,0.14772727272727273,0.550656512605042,0.10810810810810811,AdaBoostClassifier,non_microbial,CLR
2,0.6063245796775953,0.18181818181818182,0.5161764705882352,0.08108108108108109,AdaBoostClassifier,non_microbial,CLR
3,0.5873238161706058,0.09090909090909091,0.5220763305322128,0.08108108108108109,AdaBoostClassifier,non_microbial,CLR
4,0.708923039719855,0.17045454545454544,0.6454306722689076,0.10810810810810811,AdaBoostClassifier,non_microbial,CLR
0,0.9833229420456377,0.7727272727272727,0.760828081232493,0.2972972972972973,GaussianNB,non_microbial,CLR
1,0.9851014467276772,0.7613636363636364,0.7735556722689076,0.40540540540540543,GaussianNB,non_microbial,CLR
2,0.9820053078166324,0.7613636363636364,0.8223476890756303,0.43243243243243246,GaussianNB,non_microbial,CLR
3,0.9826548572338133,0.8181818181818182,0.7960346638655462,0.40540540540540543,GaussianNB,non_microbial,CLR
4,0.9846146782250955,0.7727272727272727,0.7881390056022409,0.43243243243243246,GaussianNB,non_microbial,CLR
0,1.0,1.0,0.5162289915966386,0.08108108108108109,QuadraticDiscriminantAnalysis,non_microbial,CLR
1,1.0,1.0,0.5110994397759103,0.08108108108108109,QuadraticDiscriminantAnalysis,non_microbial,CLR
2,1.0,1.0,0.47814250700280114,0.02702702702702703,QuadraticDiscriminantAnalysis,non_microbial,CLR
3,1.0,1.0,0.5442401960784313,0.13513513513513514,QuadraticDiscriminantAnalysis,non_microbial,CLR
4,1.0,1.0,0.538874299719888,0.13513513513513514,QuadraticDiscriminantAnalysis,non_microbial,CLR
0,1.0,1.0,0.8663865546218488,0.5405405405405406,Logistic Regression,non_microbial,ILR
1,1.0,1.0,0.8879376750700281,0.5945945945945946,Logistic Regression,non_microbial,ILR
2,1.0,1.0,0.9096813725490196,0.6756756756756757,Logistic Regression,non_microbial,ILR
3,1.0,1.0,0.8916491596638656,0.6486486486486487,Logistic Regression,non_microbial,ILR
4,1.0,1.0,0.8810049019607843,0.5675675675675675,Logistic Regression,non_microbial,ILR
0,0.9819368637522732,0.7045454545454546,0.8308298319327732,0.5135135135135135,KNeighborsClassifier,non_microbial,ILR
1,0.978980273146075,0.6931818181818182,0.7914478291316527,0.5135135135135135,KNeighborsClassifier,non_microbial,ILR
2,0.9806470656143738,0.7045454545454546,0.8176908263305322,0.5135135135135135,KNeighborsClassifier,non_microbial,ILR
3,0.9812003458083204,0.7045454545454546,0.8008578431372549,0.5405405405405406,KNeighborsClassifier,non_microbial,ILR
4,0.9810920675297007,0.6590909090909091,0.7849002100840337,0.5135135135135135,KNeighborsClassifier,non_microbial,ILR
0,0.9992469879518072,1.0,0.866439075630252,0.5675675675675675,SVC (Linear),non_microbial,ILR
1,0.9889215467010641,1.0,0.8701155462184874,0.5675675675675675,SVC (Linear),non_microbial,ILR
2,0.9847570923939661,1.0,0.8871848739495798,0.7297297297297297,SVC (Linear),non_microbial,ILR
3,0.9978767421602788,0.9886363636363636,0.8740721288515406,0.5945945945945946,SVC (Linear),non_microbial,ILR
4,0.9953814605110336,0.9886363636363636,0.8671043417366946,0.5675675675675675,SVC (Linear),non_microbial,ILR
0,0.0,1.0,0.5,0.08108108108108109,SVC (RBF),non_microbial,ILR
1,0.0,1.0,0.44768907563025206,0.10810810810810811,SVC (RBF),non_microbial,ILR
2,0.0,1.0,0.44768907563025206,0.32432432432432434,SVC (RBF),non_microbial,ILR
3,0.0,1.0,0.44768907563025206,0.2702702702702703,SVC (RBF),non_microbial,ILR
4,0.0,1.0,0.44768907563025206,0.32432432432432434,SVC (RBF),non_microbial,ILR
0,0.8778342702821869,0.48863636363636365,0.7679096638655463,0.2972972972972973,Gaussian Process,non_microbial,ILR
1,0.9620155183581143,0.3409090909090909,0.8132177871148458,0.08108108108108109,Gaussian Process,non_microbial,ILR
2,0.5663553386017939,0.11363636363636363,0.5096288515406162,0.13513513513513514,Gaussian Process,non_microbial,ILR
3,0.5621492940402726,0.125,0.48998599439775914,0.08108108108108109,Gaussian Process,non_microbial,ILR
4,0.9964657738095238,0.9431818181818182,0.8506477591036414,0.5405405405405406,Gaussian Process,non_microbial,ILR
0,0.9252816215500795,0.6477272727272727,0.5857580532212885,0.1891891891891892,Decision Tree,non_microbial,ILR
1,0.9266589336115918,0.625,0.6445815826330532,0.2972972972972973,Decision Tree,non_microbial,ILR
2,0.9066801832766607,0.5795454545454546,0.6699054621848739,0.2702702702702703,Decision Tree,non_microbial,ILR
3,0.9390987184801924,0.6704545454545454,0.6160451680672269,0.2702702702702703,Decision Tree,non_microbial,ILR
4,0.9341573830163861,0.6818181818181818,0.639627100840336,0.35135135135135137,Decision Tree,non_microbial,ILR
0,0.994275967027874,0.8863636363636364,0.6902485994397759,0.21621621621621623,Random Forest,non_microbial,ILR
1,0.9942861277264821,0.9318181818181818,0.6750700280112044,0.35135135135135137,Random Forest,non_microbial,ILR
2,0.9928829647859732,0.8522727272727273,0.7888305322128852,0.3783783783783784,Random Forest,non_microbial,ILR
3,0.98610785695045,0.8181818181818182,0.6658000700280111,0.24324324324324326,Random Forest,non_microbial,ILR
4,0.9940450718378742,0.875,0.6877538515406163,0.24324324324324326,Random Forest,non_microbial,ILR
0,1.0,1.0,0.8642156862745098,0.5675675675675675,MLPClassifier,non_microbial,ILR
1,1.0,1.0,0.891281512605042,0.5945945945945946,MLPClassifier,non_microbial,ILR
2,1.0,1.0,0.9022584033613446,0.6756756756756757,MLPClassifier,non_microbial,ILR
3,1.0,1.0,0.8778186274509805,0.6756756756756757,MLPClassifier,non_microbial,ILR
4,1.0,1.0,0.8842436974789916,0.5945945945945946,MLPClassifier,non_microbial,ILR
0,0.679366928126754,0.14772727272727273,0.6115196078431373,0.13513513513513514,AdaBoostClassifier,non_microbial,ILR
1,0.6743925779336859,0.14772727272727273,0.6220763305322128,0.05405405405405406,AdaBoostClassifier,non_microbial,ILR
2,0.6911346605935939,0.20454545454545456,0.5082983193277311,0.10810810810810811,AdaBoostClassifier,non_microbial,ILR
3,0.6680762247596659,0.14772727272727273,0.5373249299719888,0.10810810810810811,AdaBoostClassifier,non_microbial,ILR
4,0.689537680338077,0.18181818181818182,0.6157913165266107,0.05405405405405406,AdaBoostClassifier,non_microbial,ILR
0,0.9685389241344006,0.6704545454545454,0.747172619047619,0.32432432432432434,GaussianNB,non_microbial,ILR
1,0.9646575737068808,0.75,0.7671130952380953,0.35135135135135137,GaussianNB,non_microbial,ILR
2,0.9560535915438759,0.7045454545454546,0.7607317927170869,0.3783783783783784,GaussianNB,non_microbial,ILR
3,0.9629925844492955,0.6931818181818182,0.788077731092437,0.4594594594594595,GaussianNB,non_microbial,ILR
4,0.9682638764990275,0.6931818181818182,0.7637167366946779,0.32432432432432434,GaussianNB,non_microbial,ILR
0,1.0,1.0,0.5338235294117646,0.13513513513513514,QuadraticDiscriminantAnalysis,non_microbial,ILR
1,1.0,1.0,0.5337710084033613,0.13513513513513514,QuadraticDiscriminantAnalysis,non_microbial,ILR
2,1.0,1.0,0.544187675070028,0.13513513513513514,QuadraticDiscriminantAnalysis,non_microbial,ILR
3,1.0,1.0,0.544108893557423,0.13513513513513514,QuadraticDiscriminantAnalysis,non_microbial,ILR
4,1.0,1.0,0.5111519607843138,0.08108108108108109,QuadraticDiscriminantAnalysis,non_microbial,ILR
0,0.9213622941728199,0.2840909090909091,0.8356617647058824,0.13513513513513514,Logistic Regression,microbial,TSS
1,0.9313818370332536,0.23863636363636365,0.8625700280112045,0.10810810810810811,Logistic Regression,microbial,TSS
2,0.927548937037348,0.4318181818181818,0.8749649859943978,0.32432432432432434,Logistic Regression,microbial,TSS
3,0.929468582080937,0.4772727272727273,0.875437675070028,0.40540540540540543,Logistic Regression,microbial,TSS
4,0.9317327235772358,0.3977272727272727,0.8651435574229691,0.2972972972972973,Logistic Regression,microbial,TSS
0,0.9878300254184891,0.75,0.8664653361344538,0.5675675675675675,KNeighborsClassifier,microbial,TSS
1,0.9866516060612952,0.7727272727272727,0.8924807422969188,0.6216216216216216,KNeighborsClassifier,microbial,TSS
2,0.9877047825448134,0.8295454545454546,0.8673669467787115,0.6756756756756757,KNeighborsClassifier,microbial,TSS
3,0.988796125267621,0.7727272727272727,0.9005689775910364,0.6756756756756757,KNeighborsClassifier,microbial,TSS
4,0.9892814069868324,0.7613636363636364,0.8809261204481793,0.6216216216216216,KNeighborsClassifier,microbial,TSS
0,0.30054398698808654,0.2840909090909091,0.35239845938375347,0.1891891891891892,SVC (Linear),microbial,TSS
1,0.5316762245944677,0.22727272727272727,0.5341736694677871,0.16216216216216217,SVC (Linear),microbial,TSS
2,0.07657519231980187,0.4431818181818182,0.13870798319327732,0.35135135135135137,SVC (Linear),microbial,TSS
3,0.07335755259714818,0.3977272727272727,0.1315826330532213,0.3783783783783784,SVC (Linear),microbial,TSS
4,0.06974595901025707,0.4318181818181818,0.14355742296918766,0.3783783783783784,SVC (Linear),microbial,TSS
0,0.3458570866411834,0.3409090909090909,0.3865371148459384,0.21621621621621623,SVC (RBF),microbial,TSS
1,0.5315189676955338,0.32954545454545453,0.5029586834733893,0.21621621621621623,SVC (RBF),microbial,TSS
2,0.2107939379469096,0.48863636363636365,0.26045168067226887,0.40540540540540543,SVC (RBF),microbial,TSS
3,0.2574971926031653,0.48863636363636365,0.2904586834733893,0.40540540540540543,SVC (RBF),microbial,TSS
4,0.19207101708226637,0.5340909090909091,0.2250700280112045,0.4594594594594595,SVC (RBF),microbial,TSS
0,0.9393220785289824,0.6931818181818182,0.8880252100840336,0.4864864864864865,Gaussian Process,microbial,TSS
1,0.9555559329199622,0.7272727272727273,0.9068277310924369,0.6486486486486487,Gaussian Process,microbial,TSS
2,0.960472267991828,0.6704545454545454,0.8884628851540617,0.5135135135135135,Gaussian Process,microbial,TSS
3,0.9554645410911939,0.6363636363636364,0.9226190476190477,0.5675675675675675,Gaussian Process,microbial,TSS
4,0.9869300262898283,0.7613636363636364,0.9496148459383753,0.6486486486486487,Gaussian Process,microbial,TSS
0,0.8643811716895975,0.5681818181818182,0.6558385854341736,0.24324324324324326,Decision Tree,microbial,TSS
1,0.8241362784665569,0.4659090909090909,0.7134366246498599,0.24324324324324326,Decision Tree,microbial,TSS
2,0.8254198195219904,0.4659090909090909,0.7347076330532212,0.3783783783783784,Decision Tree,microbial,TSS
3,0.9470154354351203,0.7272727272727273,0.8571953781512605,0.5405405405405406,Decision Tree,microbial,TSS
4,0.8285370795026796,0.4772727272727273,0.7188025210084033,0.35135135135135137,Decision Tree,microbial,TSS
0,0.9975357456409715,0.9090909090909091,0.8362920168067226,0.4594594594594595,Random Forest,microbial,TSS
1,0.9947565264283356,0.9318181818181818,0.8842787114845938,0.6486486486486487,Random Forest,microbial,TSS
2,0.9994918699186992,0.9772727272727273,0.889828431372549,0.4864864864864865,Random Forest,microbial,TSS
3,0.9907493103948897,0.9659090909090909,0.8865721288515406,0.5675675675675675,Random Forest,microbial,TSS
4,0.9989202235772358,0.9545454545454546,0.8975227591036415,0.4594594594594595,Random Forest,microbial,TSS
0,0.8360622833150902,0.23863636363636365,0.7487920168067226,0.13513513513513514,MLPClassifier,microbial,TSS
1,0.8674475830311826,0.23863636363636365,0.7819327731092437,0.16216216216216217,MLPClassifier,microbial,TSS
2,0.8632248724864616,0.32954545454545453,0.7888480392156862,0.24324324324324326,MLPClassifier,microbial,TSS
3,0.8622997871276045,0.3068181818181818,0.8026610644257702,0.2702702702702703,MLPClassifier,microbial,TSS
4,0.8630498256090564,0.3181818181818182,0.7935924369747899,0.21621621621621623,MLPClassifier,microbial,TSS
0,0.7214962038760281,0.20454545454545456,0.7177696078431373,0.1891891891891892,AdaBoostClassifier,microbial,TSS
1,0.713505177310092,0.2727272727272727,0.6425595238095239,0.1891891891891892,AdaBoostClassifier,microbial,TSS
2,0.7314568596686397,0.20454545454545456,0.7121498599439776,0.1891891891891892,AdaBoostClassifier,microbial,TSS
3,0.7313114610007976,0.17045454545454544,0.7246498599439776,0.13513513513513514,AdaBoostClassifier,microbial,TSS
4,0.6962667744147321,0.17045454545454544,0.6922794117647059,0.16216216216216217,AdaBoostClassifier,microbial,TSS
0,1.0,1.0,0.7799719887955181,0.5135135135135135,GaussianNB,microbial,TSS
1,1.0,1.0,0.8155987394957984,0.6486486486486487,GaussianNB,microbial,TSS
2,1.0,1.0,0.7711659663865547,0.5135135135135135,GaussianNB,microbial,TSS
3,1.0,1.0,0.803063725490196,0.5945945945945946,GaussianNB,microbial,TSS
4,1.0,1.0,0.7468487394957983,0.4864864864864865,GaussianNB,microbial,TSS
0,1.0,1.0,0.5771971288515406,0.1891891891891892,QuadraticDiscriminantAnalysis,microbial,TSS
1,1.0,1.0,0.5665703781512605,0.1891891891891892,QuadraticDiscriminantAnalysis,microbial,TSS
2,1.0,1.0,0.6111782212885154,0.2702702702702703,QuadraticDiscriminantAnalysis,microbial,TSS
3,1.0,1.0,0.6442401960784314,0.32432432432432434,QuadraticDiscriminantAnalysis,microbial,TSS
4,1.0,1.0,0.6047881652661065,0.24324324324324326,QuadraticDiscriminantAnalysis,microbial,TSS
0,1.0,1.0,0.9338497899159663,0.7567567567567568,Logistic Regression,microbial,CSS
1,1.0,1.0,0.9439425770308123,0.8648648648648649,Logistic Regression,microbial,CSS
2,1.0,1.0,0.9525910364145659,0.8108108108108109,Logistic Regression,microbial,CSS
3,1.0,1.0,0.9432685574229691,0.8378378378378378,Logistic Regression,microbial,CSS
4,0.8641054636665128,0.25,0.7299369747899159,0.13513513513513514,Logistic Regression,microbial,CSS
0,0.9776497935460385,0.6022727272727273,0.8196428571428571,0.40540540540540543,KNeighborsClassifier,microbial,CSS
1,0.9774658875128207,0.6590909090909091,0.8546393557422969,0.4594594594594595,KNeighborsClassifier,microbial,CSS
2,0.9824779136143879,0.7159090909090909,0.8406162464985993,0.4864864864864865,KNeighborsClassifier,microbial,CSS
3,0.9789766590315967,0.6590909090909091,0.8641981792717086,0.5405405405405406,KNeighborsClassifier,microbial,CSS
4,0.9847620118977651,0.6477272727272727,0.8464285714285714,0.5135135135135135,KNeighborsClassifier,microbial,CSS
0,0.8648654857039463,1.0,0.7882002801120447,0.6756756756756757,SVC (Linear),microbial,CSS
1,0.9442830527329347,1.0,0.8994747899159664,0.7027027027027027,SVC (Linear),microbial,CSS
2,0.8810874595944755,1.0,0.798266806722689,0.6216216216216216,SVC (Linear),microbial,CSS
3,0.8849087005688259,1.0,0.8154236694677872,0.7027027027027027,SVC (Linear),microbial,CSS
4,0.9184650186110295,1.0,0.8640056022408964,0.6756756756756757,SVC (Linear),microbial,CSS
0,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),microbial,CSS
1,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),microbial,CSS
2,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),microbial,CSS
3,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),microbial,CSS
4,0.0,1.0,0.5,0.05405405405405406,SVC (RBF),microbial,CSS
0,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,microbial,CSS
1,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,microbial,CSS
2,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,microbial,CSS
3,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,microbial,CSS
4,1.0,1.0,0.5,0.05405405405405406,Gaussian Process,microbial,CSS
0,0.95001761830196,0.7613636363636364,0.7443277310924369,0.35135135135135137,Decision Tree,microbial,CSS
1,0.9009688191402855,0.48863636363636365,0.7542629551820729,0.2972972972972973,Decision Tree,microbial,CSS
2,0.9146925135209829,0.5454545454545454,0.7284838935574229,0.2972972972972973,Decision Tree,microbial,CSS
3,0.9498662332255853,0.7272727272727273,0.7377363445378151,0.3783783783783784,Decision Tree,microbial,CSS
4,0.9596581010452963,0.7159090909090909,0.721656162464986,0.3783783783783784,Decision Tree,microbial,CSS
0,0.9991880219289858,0.9772727272727273,0.8730742296918768,0.5135135135135135,Random Forest,microbial,CSS
1,0.9979495002043275,0.9545454545454546,0.8098914565826331,0.4594594594594595,Random Forest,microbial,CSS
2,0.9988567073170732,0.9659090909090909,0.8494397759103641,0.40540540540540543,Random Forest,microbial,CSS
3,0.9966200275842044,0.9431818181818182,0.8793329831932772,0.5675675675675675,Random Forest,microbial,CSS
4,0.9989456738102235,0.9659090909090909,0.911423319327731,0.6756756756756757,Random Forest,microbial,CSS
0,0.9981017922509499,0.9659090909090909,0.8273634453781512,0.5675675675675675,MLPClassifier,microbial,CSS
1,1.0,1.0,0.9193539915966387,0.7027027027027027,MLPClassifier,microbial,CSS
2,1.0,1.0,0.8691351540616247,0.6216216216216216,MLPClassifier,microbial,CSS
3,1.0,1.0,0.8973389355742296,0.5675675675675675,MLPClassifier,microbial,CSS
4,1.0,1.0,0.9118084733893557,0.6486486486486487,MLPClassifier,microbial,CSS
0,0.7428612321187577,0.10227272727272728,0.6978641456582633,0.05405405405405406,AdaBoostClassifier,microbial,CSS
1,0.6348675188559114,0.14772727272727273,0.5826155462184874,0.10810810810810811,AdaBoostClassifier,microbial,CSS
2,0.6231102546072793,0.125,0.5835084033613446,0.08108108108108109,AdaBoostClassifier,microbial,CSS
3,0.7913818328628102,0.23863636363636365,0.7240371148459384,0.21621621621621623,AdaBoostClassifier,microbial,CSS
4,0.7629013713827435,0.14772727272727273,0.685609243697479,0.10810810810810811,AdaBoostClassifier,microbial,CSS
0,0.9854577540384793,0.7840909090909091,0.8229779411764706,0.4864864864864865,GaussianNB,microbial,CSS
1,0.9963297634984383,0.9318181818181818,0.8685661764705883,0.7027027027027027,GaussianNB,microbial,CSS
2,0.9826548572338133,0.7954545454545454,0.8646446078431373,0.5405405405405406,GaussianNB,microbial,CSS
3,0.985718024537173,0.7954545454545454,0.9022584033613444,0.6486486486486487,GaussianNB,microbial,CSS
4,0.9853912601626016,0.8068181818181818,0.8459558823529412,0.5405405405405406,GaussianNB,microbial,CSS
0,1.0,1.0,0.5330357142857143,0.10810810810810811,QuadraticDiscriminantAnalysis,microbial,CSS
1,1.0,1.0,0.49992121848739496,0.05405405405405406,QuadraticDiscriminantAnalysis,microbial,CSS
2,1.0,1.0,0.5443189775910364,0.13513513513513514,QuadraticDiscriminantAnalysis,microbial,CSS
3,1.0,1.0,0.5330094537815127,0.10810810810810811,QuadraticDiscriminantAnalysis,microbial,CSS
4,1.0,1.0,0.5330357142857143,0.10810810810810811,QuadraticDiscriminantAnalysis,microbial,CSS
0,1.0,1.0,0.9824229691876751,0.8648648648648649,Logistic Regression,microbial,CLR
1,1.0,1.0,0.9839285714285715,0.918918918918919,Logistic Regression,microbial,CLR
2,1.0,1.0,0.9901785714285715,0.8648648648648649,Logistic Regression,microbial,CLR
3,1.0,1.0,0.9928571428571429,0.918918918918919,Logistic Regression,microbial,CLR
4,1.0,1.0,0.99375,0.918918918918919,Logistic Regression,microbial,CLR
